case_id,oracle_split,injection_mode,target_rgroup,overlay_ok,clash_location_ok,scaffold_stable,non_target_stable,ligand_geometry_ok,oracle_split_reasonable,manual_qc_status,manual_notes
case_000717,ambiguous_region,directed_clash,R2,pass,pass_ambiguous_boundary,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,ambiguous-region label visually reasonable; attribution boundary is not as clean as supported set; ambiguous surface view is less informative; other views support ambiguous-region label
case_000718,ambiguous_region,directed_clash,R2,pass,pass_ambiguous_boundary,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,ambiguous-region label visually reasonable; attribution boundary is not as clean as supported set; ambiguous surface view is less informative; other views support ambiguous-region label
case_000921,global_pose_failure,easy_rotation,R3,pass,pass_hard_failure,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,global/hard failure label visually reasonable due to deep ligand-protein clash
case_000957,global_pose_failure,easy_rotation,R5,pass,pass_hard_failure,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,global/hard failure label visually reasonable due to deep ligand-protein clash
case_001029,global_pose_failure,easy_rotation,R3,pass,pass_hard_failure,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,global/hard failure label visually reasonable due to deep ligand-protein clash
case_000029,invalid_conformer,directed_clash,R8,pass,not_applicable_no_protein_severe_pair,pass,pass,expected_invalid_internal_clash,pass,sampled_visual_qc_passed_with_minor_caveats,invalid conformer visually not a valid ligand-protein clash; self-clash view not explicitly highlighted; visual duplicate with case_000019; invalid self-clash class remains reasonable
case_000070,invalid_conformer,directed_clash,R8,pass,not_applicable_no_protein_severe_pair,pass,pass,expected_invalid_internal_clash,pass,sampled_visual_qc_passed_with_minor_caveats,invalid conformer visually not a valid ligand-protein clash; self-clash view not explicitly highlighted; visual duplicate with case_000057; invalid self-clash class remains reasonable
case_000019,invalid_conformer,easy_rotation,R8,pass,not_applicable_no_protein_severe_pair,pass,pass,expected_invalid_internal_clash,pass,sampled_visual_qc_passed_with_minor_caveats,invalid conformer visually not a valid ligand-protein clash; self-clash view not explicitly highlighted; visual duplicate with case_000029; invalid self-clash class remains reasonable
case_000057,invalid_conformer,easy_rotation,R8,pass,not_applicable_no_protein_severe_pair,pass,pass,expected_invalid_internal_clash,pass,sampled_visual_qc_passed_with_minor_caveats,invalid conformer visually not a valid ligand-protein clash; self-clash view not explicitly highlighted; visual duplicate with case_000070; invalid self-clash class remains reasonable
case_000093,invalid_conformer,easy_rotation,R8,pass,not_applicable_no_protein_severe_pair,pass,pass,expected_invalid_internal_clash,pass,sampled_visual_qc_passed_with_minor_caveats,invalid conformer visually not a valid ligand-protein clash; self-clash view not explicitly highlighted
case_000001,near_miss_contact,easy_rotation,R4,pass,pass_near_miss_no_severe_pair,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,near-miss label visually reasonable; no severe VDW pair available
case_000002,near_miss_contact,easy_rotation,R4,pass,pass_near_miss_no_severe_pair,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,near-miss label visually reasonable; no severe VDW pair available
case_000003,near_miss_contact,easy_rotation,R4,pass,pass_near_miss_no_severe_pair,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,near-miss label visually reasonable; no severe VDW pair available
case_000004,near_miss_contact,easy_rotation,R4,pass,pass_near_miss_no_severe_pair,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,near-miss label visually reasonable; no severe VDW pair available
