visual_case_id,case_id,candidate_id,sampling_group,view,angle,script_path,image_path,status,render_action,returncode,stderr_tail,camera_score,camera_focus,camera_direction,camera_selection_tier,candidate_directions,ligand_occluded_fraction,center_line_blocked,projection_area_score,interest_occluded_fraction,key_occluded_fraction,interest_area_score
vqc_001,case_000041,diffsbdd_conditional_inpainting:pocket:case_000041:003,diffsbdd_reliable_strict_shadow_fail,reconnect_clash,clear_01,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/scripts/reconnect_clash_clear_01_clear_12.cxc,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/images/reconnect_clash_clear_01.png,rendered,chimerax_render,0,"color white radius 0.01 INFO: Axis 'axis' centered at [ 64.4508 104.89715 8.1134 ] with direction [-0.613 8.7891 -4.7304], radius 0.01, and length 10 INFO: Executing: hide #102 models INFO: Executing: view all clip false pad 0.50 zalign #102 INFO: Executing: runscript scripts/center_camera_on_focus.py 64.7573 100.5026 10.4786 INFO: Executing: save images/reconnect_clash_clear_12.png width 1200 height 900 INFO: UCSF ChimeraX version: 1.11.1 (2026-01-23) INFO: © 2016-2025 Regents of the University of California. All rights reserved. INFO: [How to cite UCSF ChimeraX](cxcmd:help help:credits.html)",8.323222,"64.757286,100.502600,10.478600","0.367070,0.855469,-0.365284",strict,256,0.0,False,0.933242,0.024096,0.033333,0.808351
vqc_001,case_000041,diffsbdd_conditional_inpainting:pocket:case_000041:003,diffsbdd_reliable_strict_shadow_fail,reconnect_clash,clear_02,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/scripts/reconnect_clash_clear_01_clear_12.cxc,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/images/reconnect_clash_clear_02.png,rendered,chimerax_render,0,"color white radius 0.01 INFO: Axis 'axis' centered at [ 64.4508 104.89715 8.1134 ] with direction [-0.613 8.7891 -4.7304], radius 0.01, and length 10 INFO: Executing: hide #102 models INFO: Executing: view all clip false pad 0.50 zalign #102 INFO: Executing: runscript scripts/center_camera_on_focus.py 64.7573 100.5026 10.4786 INFO: Executing: save images/reconnect_clash_clear_12.png width 1200 height 900 INFO: UCSF ChimeraX version: 1.11.1 (2026-01-23) INFO: © 2016-2025 Regents of the University of California. All rights reserved. INFO: [How to cite UCSF ChimeraX](cxcmd:help help:credits.html)",8.285918,"64.757286,100.502600,10.478600","0.680614,0.730469,-0.056388",strict,256,0.0,False,0.856426,0.024096,0.033333,0.982322
vqc_001,case_000041,diffsbdd_conditional_inpainting:pocket:case_000041:003,diffsbdd_reliable_strict_shadow_fail,reconnect_clash,clear_03,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/scripts/reconnect_clash_clear_01_clear_12.cxc,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/images/reconnect_clash_clear_03.png,rendered,chimerax_render,0,"color white radius 0.01 INFO: Axis 'axis' centered at [ 64.4508 104.89715 8.1134 ] with direction [-0.613 8.7891 -4.7304], radius 0.01, and length 10 INFO: Executing: hide #102 models INFO: Executing: view all clip false pad 0.50 zalign #102 INFO: Executing: runscript scripts/center_camera_on_focus.py 64.7573 100.5026 10.4786 INFO: Executing: save images/reconnect_clash_clear_12.png width 1200 height 900 INFO: UCSF ChimeraX version: 1.11.1 (2026-01-23) INFO: © 2016-2025 Regents of the University of California. All rights reserved. INFO: [How to cite UCSF ChimeraX](cxcmd:help help:credits.html)",8.177107,"64.757286,100.502600,10.478600","0.336590,0.933594,0.122922",strict,256,0.0,False,0.736142,0.084337,0.116667,0.927567
vqc_001,case_000041,diffsbdd_conditional_inpainting:pocket:case_000041:003,diffsbdd_reliable_strict_shadow_fail,reconnect_clash,clear_04,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/scripts/reconnect_clash_clear_01_clear_12.cxc,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/images/reconnect_clash_clear_04.png,rendered,chimerax_render,0,"color white radius 0.01 INFO: Axis 'axis' centered at [ 64.4508 104.89715 8.1134 ] with direction [-0.613 8.7891 -4.7304], radius 0.01, and length 10 INFO: Executing: hide #102 models INFO: Executing: view all clip false pad 0.50 zalign #102 INFO: Executing: runscript scripts/center_camera_on_focus.py 64.7573 100.5026 10.4786 INFO: Executing: save images/reconnect_clash_clear_12.png width 1200 height 900 INFO: UCSF ChimeraX version: 1.11.1 (2026-01-23) INFO: © 2016-2025 Regents of the University of California. All rights reserved. INFO: [How to cite UCSF ChimeraX](cxcmd:help help:credits.html)",8.049735,"64.757286,100.502600,10.478600","0.899895,0.402344,0.168249",strict,256,0.0,False,0.865848,0.024096,0.033333,0.899524
vqc_001,case_000041,diffsbdd_conditional_inpainting:pocket:case_000041:003,diffsbdd_reliable_strict_shadow_fail,reconnect_clash,clear_05,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/scripts/reconnect_clash_clear_01_clear_12.cxc,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/images/reconnect_clash_clear_05.png,rendered,chimerax_render,0,"color white radius 0.01 INFO: Axis 'axis' centered at [ 64.4508 104.89715 8.1134 ] with direction [-0.613 8.7891 -4.7304], radius 0.01, and length 10 INFO: Executing: hide #102 models INFO: Executing: view all clip false pad 0.50 zalign #102 INFO: Executing: runscript scripts/center_camera_on_focus.py 64.7573 100.5026 10.4786 INFO: Executing: save images/reconnect_clash_clear_12.png width 1200 height 900 INFO: UCSF ChimeraX version: 1.11.1 (2026-01-23) INFO: © 2016-2025 Regents of the University of California. All rights reserved. INFO: [How to cite UCSF ChimeraX](cxcmd:help help:credits.html)",7.982709,"64.757286,100.502600,10.478600","-0.081676,0.949219,0.303830",strict,256,0.0,False,0.568336,0.168675,0.233333,0.809151
vqc_001,case_000041,diffsbdd_conditional_inpainting:pocket:case_000041:003,diffsbdd_reliable_strict_shadow_fail,reconnect_clash,clear_06,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/scripts/reconnect_clash_clear_01_clear_12.cxc,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/images/reconnect_clash_clear_06.png,rendered,chimerax_render,0,"color white radius 0.01 INFO: Axis 'axis' centered at [ 64.4508 104.89715 8.1134 ] with direction [-0.613 8.7891 -4.7304], radius 0.01, and length 10 INFO: Executing: hide #102 models INFO: Executing: view all clip false pad 0.50 zalign #102 INFO: Executing: runscript scripts/center_camera_on_focus.py 64.7573 100.5026 10.4786 INFO: Executing: save images/reconnect_clash_clear_12.png width 1200 height 900 INFO: UCSF ChimeraX version: 1.11.1 (2026-01-23) INFO: © 2016-2025 Regents of the University of California. All rights reserved. INFO: [How to cite UCSF ChimeraX](cxcmd:help help:credits.html)",7.981496,"64.757286,100.502600,10.478600","0.358670,-0.800781,-0.479693",strict,256,0.0,False,0.609463,0.180723,0.25,0.743265
vqc_001,case_000041,diffsbdd_conditional_inpainting:pocket:case_000041:003,diffsbdd_reliable_strict_shadow_fail,reconnect_clash,clear_07,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/scripts/reconnect_clash_clear_01_clear_12.cxc,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/images/reconnect_clash_clear_07.png,rendered,chimerax_render,0,"color white radius 0.01 INFO: Axis 'axis' centered at [ 64.4508 104.89715 8.1134 ] with direction [-0.613 8.7891 -4.7304], radius 0.01, and length 10 INFO: Executing: hide #102 models INFO: Executing: view all clip false pad 0.50 zalign #102 INFO: Executing: runscript scripts/center_camera_on_focus.py 64.7573 100.5026 10.4786 INFO: Executing: save images/reconnect_clash_clear_12.png width 1200 height 900 INFO: UCSF ChimeraX version: 1.11.1 (2026-01-23) INFO: © 2016-2025 Regents of the University of California. All rights reserved. INFO: [How to cite UCSF ChimeraX](cxcmd:help help:credits.html)",7.940465,"64.757286,100.502600,10.478600","0.317551,-0.042969,-0.947267",strict,256,0.0,False,0.731884,0.084337,0.116667,0.619587
vqc_001,case_000041,diffsbdd_conditional_inpainting:pocket:case_000041:003,diffsbdd_reliable_strict_shadow_fail,reconnect_clash,clear_08,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/scripts/reconnect_clash_clear_01_clear_12.cxc,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/images/reconnect_clash_clear_08.png,rendered,chimerax_render,0,"color white radius 0.01 INFO: Axis 'axis' centered at [ 64.4508 104.89715 8.1134 ] with direction [-0.613 8.7891 -4.7304], radius 0.01, and length 10 INFO: Executing: hide #102 models INFO: Executing: view all clip false pad 0.50 zalign #102 INFO: Executing: runscript scripts/center_camera_on_focus.py 64.7573 100.5026 10.4786 INFO: Executing: save images/reconnect_clash_clear_12.png width 1200 height 900 INFO: UCSF ChimeraX version: 1.11.1 (2026-01-23) INFO: © 2016-2025 Regents of the University of California. All rights reserved. INFO: [How to cite UCSF ChimeraX](cxcmd:help help:credits.html)",7.903353,"64.757286,100.502600,10.478600","0.864621,0.363281,-0.347069",strict,256,0.0,False,0.942136,0.024096,0.033333,0.786524
vqc_001,case_000041,diffsbdd_conditional_inpainting:pocket:case_000041:003,diffsbdd_reliable_strict_shadow_fail,reconnect_clash,clear_09,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/scripts/reconnect_clash_clear_01_clear_12.cxc,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/images/reconnect_clash_clear_09.png,rendered,chimerax_render,0,"color white radius 0.01 INFO: Axis 'axis' centered at [ 64.4508 104.89715 8.1134 ] with direction [-0.613 8.7891 -4.7304], radius 0.01, and length 10 INFO: Executing: hide #102 models INFO: Executing: view all clip false pad 0.50 zalign #102 INFO: Executing: runscript scripts/center_camera_on_focus.py 64.7573 100.5026 10.4786 INFO: Executing: save images/reconnect_clash_clear_12.png width 1200 height 900 INFO: UCSF ChimeraX version: 1.11.1 (2026-01-23) INFO: © 2016-2025 Regents of the University of California. All rights reserved. INFO: [How to cite UCSF ChimeraX](cxcmd:help help:credits.html)",7.792045,"64.757286,100.502600,10.478600","0.943748,-0.066406,-0.323929",strict,256,0.0,False,0.839935,0.024096,0.033333,0.716696
vqc_001,case_000041,diffsbdd_conditional_inpainting:pocket:case_000041:003,diffsbdd_reliable_strict_shadow_fail,reconnect_clash,clear_10,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/scripts/reconnect_clash_clear_01_clear_12.cxc,/home/lyj/mnt/project/clash2feedback_gc/runs/phase4_0_1a_visual_qc/case_000041/diffsbdd_conditional_inpainting_pocket_case_000041_003/images/reconnect_clash_clear_10.png,rendered,chimerax_render,0,"color white radius 0.01 INFO: Axis 'axis' centered at [ 64.4508 104.89715 8.1134 ] with direction [-0.613 8.7891 -4.7304], radius 0.01, and length 10 INFO: Executing: hide #102 models INFO: Executing: view all clip false pad 0.50 zalign #102 INFO: Executing: runscript scripts/center_camera_on_focus.py 64.7573 100.5026 10.4786 INFO: Executing: save images/reconnect_clash_clear_12.png width 1200 height 900 INFO: UCSF ChimeraX version: 1.11.1 (2026-01-23) INFO: © 2016-2025 Regents of the University of California. All rights reserved. INFO: [How to cite UCSF ChimeraX](cxcmd:help help:credits.html)",7.785937,"64.757286,100.502600,10.478600","0.695721,-0.269531,-0.665827",strict,256,0.0,False,0.816049,0.108434,0.15,0.736952
