case_id,oracle_split,sample_path,original_ligand_sdf,failed_ligand_sdf,visual_qc_status,notes
case_000041,supported_single_rgroup,samples/case_000041.pkl,ligands/case_000041_original.sdf,ligands/case_000041_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000048,supported_single_rgroup,samples/case_000048.pkl,ligands/case_000048_original.sdf,ligands/case_000048_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000059,supported_single_rgroup,samples/case_000059.pkl,ligands/case_000059_original.sdf,ligands/case_000059_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000095,supported_single_rgroup,samples/case_000095.pkl,ligands/case_000095_original.sdf,ligands/case_000095_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000102,supported_single_rgroup,samples/case_000102.pkl,ligands/case_000102_original.sdf,ligands/case_000102_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000109,supported_single_rgroup,samples/case_000109.pkl,ligands/case_000109_original.sdf,ligands/case_000109_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000120,supported_single_rgroup,samples/case_000120.pkl,ligands/case_000120_original.sdf,ligands/case_000120_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000163,supported_single_rgroup,samples/case_000163.pkl,ligands/case_000163_original.sdf,ligands/case_000163_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000202,supported_single_rgroup,samples/case_000202.pkl,ligands/case_000202_original.sdf,ligands/case_000202_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000210,supported_single_rgroup,samples/case_000210.pkl,ligands/case_000210_original.sdf,ligands/case_000210_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000921,global_pose_failure,samples/case_000921.pkl,ligands/case_000921_original.sdf,ligands/case_000921_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000957,global_pose_failure,samples/case_000957.pkl,ligands/case_000957_original.sdf,ligands/case_000957_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_001029,global_pose_failure,samples/case_001029.pkl,ligands/case_001029_original.sdf,ligands/case_001029_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000717,ambiguous_region,samples/case_000717.pkl,ligands/case_000717_original.sdf,ligands/case_000717_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000718,ambiguous_region,samples/case_000718.pkl,ligands/case_000718_original.sdf,ligands/case_000718_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000019,invalid_conformer,samples/case_000019.pkl,ligands/case_000019_original.sdf,ligands/case_000019_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000029,invalid_conformer,samples/case_000029.pkl,ligands/case_000029_original.sdf,ligands/case_000029_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000057,invalid_conformer,samples/case_000057.pkl,ligands/case_000057_original.sdf,ligands/case_000057_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
